"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"43",43,"Portugal",0.111,8,12.6,31.3,47.7,48.2,54.9,66.2,1.0104821802935,0.829305135951662,43,0.83,80.9,16.3,8.2,"25,757",-2
"44",44,"Hungary",0.209,14,12.1,10.1,97.9,98.7,44.8,60,1.00817160367722,0.746666666666667,44,0.828,75.2,15.4,11.6,"22,916",3
"45",45,"Bahrain",0.265,22,13.8,15,56.7,51.4,39.2,86.9,0.90652557319224,0.451093210586881,45,0.824,76.6,14.4,9.4,"38,599",-20
"46",46,"Latvia",0.167,13,13.5,18,98.9,99,54.9,67.6,1.0010111223458,0.812130177514793,46,0.819,74.2,15.2,11.5,"22,281",4
"47",47,"Croatia",0.149,13,12.7,25.8,85,93.6,44.7,58.4,1.10117647058824,0.76541095890411,47,0.818,77.3,14.8,11,"19,409",11
"48",48,"Kuwait",0.387,14,14.5,1.5,55.6,56.3,43.6,83.1,1.01258992805755,0.524669073405536,48,0.816,74.4,14.7,7.2,"83,961",-46
"49",49,"Montenegro",0.171,7,15.2,17.3,84.2,94.7,43,57.3,1.12470308788599,0.75043630017452,49,0.802,76.2,15.2,11.2,"14,558",27
"50",50,"Belarus",0.151,1,20.6,30.1,87,92.2,50.1,63.1,1.05977011494253,0.793977812995246,50,0.798,71.3,15.7,12,"16,676",14
"51",50,"Russian Federation",0.276,24,25.7,14.5,89.6,92.5,57.1,71.7,1.03236607142857,0.796373779637378,50,0.798,70.1,14.7,12,"22,352",-1
"52",52,"Oman",0.275,11,10.6,9.6,47.2,57.1,29,82.6,1.20974576271186,0.351089588377724,52,0.793,76.8,13.6,8,"34,858",-23
"53",52,"Romania",0.333,33,31,12,86.1,92,48.7,64.9,1.068524970964,0.750385208012327,52,0.793,74.7,14.2,10.8,"18,108",10
"54",52,"Uruguay",0.313,14,58.3,11.5,54.4,50.3,55.6,76.8,0.924632352941176,0.723958333333333,52,0.793,77.2,15.5,8.5,"19,283",7
"55",55,"Bahamas",0.298,37,28.5,16.7,91.2,87.6,69.3,79.3,0.960526315789474,0.873896595208071,55,0.79,75.4,12.6,10.9,"21,336",-3
"56",56,"Kazakhstan",0.267,26,29.9,20.1,95.3,98.8,67.7,77.9,1.03672612801679,0.869062901155327,56,0.788,69.4,15,11.4,"20,867",-1
"57",57,"Barbados",0.357,52,48.4,19.6,89.5,87.7,65.9,76.6,0.979888268156425,0.860313315926893,57,0.785,75.6,15.4,10.5,"12,488",27
"58",58,"Antigua and Barbuda",NA,NA,49.3,25.7,NA,NA,NA,NA,NA,NA,58,0.783,76.1,14,9.2,"20,070",-1
"59",59,"Bulgaria",0.212,5,35.9,20.4,93,95.7,47.9,59,1.02903225806452,0.811864406779661,59,0.782,74.2,14.4,10.6,"15,596",13
"60",60,"Palau",NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,60,0.78,72.7,13.7,12.3,"13,496",18
"61",60,"Panama",0.454,85,78.5,19.3,54,49.9,49,81.8,0.924074074074074,0.599022004889976,60,0.78,77.6,13.3,9.3,"18,192",1
"62",62,"Malaysia",0.209,29,5.7,14.2,65.1,71.3,44.4,75.5,1.0952380952381,0.588079470198675,62,0.779,74.7,12.7,10,"22,762",-14
"63",63,"Mauritius",0.419,73,30.9,11.6,49.4,58,43.6,74.2,1.17408906882591,0.587601078167116,63,0.777,74.4,15.6,8.5,"17,470",0
"64",64,"Seychelles",NA,NA,56.3,43.8,66.9,66.6,NA,NA,0.995515695067264,NA,64,0.772,73.1,13.4,9.4,"23,300",-19
"65",64,"Trinidad and Tobago",0.371,84,34.8,24.7,59.7,60.9,53,75.5,1.02010050251256,0.701986754966887,64,0.772,70.4,12.3,10.9,"26,090",-25
